frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,head_pitch_joint,head_yaw_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_elbow_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_elbow_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,waist_pitch_joint,waist_roll_joint,waist_yaw_joint,right_ankle_roll_joint,right_ankle_pitch_joint,right_knee_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,left_ankle_roll_joint,left_ankle_pitch_joint,left_knee_joint,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint
35,0.830888,0.042319,0.917905,0.010832,-0.004358,0.033681,0.999364,-0.132562,0.186799,0,0,0,-0.536557,0.053812,-0.272606,0.46732,0,0,0,-0.163306,-0.269801,0.06609,-0.303166,0.07718,-0.024577,-0.239026,0.028491,-0.26914,1.066599,0.184238,-0.022971,-0.538986,0.055934,-0.05339,0.543451,-0.103106,-0.090697,-0.10443
36,0.853106,0.040593,0.917631,0.011628,-0.002813,0.036831,0.99925,-0.138001,0.207144,0,0,0,-0.494613,0.070924,-0.270552,0.47958,0,0,0,-0.274713,-0.278423,0.064969,-0.298161,0.079593,-0.022476,-0.263811,0.032428,-0.238135,1.0437,0.214768,-0.016645,-0.611985,0.053111,-0.041086,0.574398,-0.107751,-0.090622,-0.10095
37,0.875552,0.038806,0.916169,0.01254,0.000678,0.039854,0.999127,-0.142856,0.225852,0,0,0,-0.455948,0.087602,-0.267009,0.491607,0,0,0,-0.37608,-0.289785,0.065541,-0.295181,0.077784,-0.019246,-0.2866,0.036144,-0.201301,1.011447,0.24141,-0.010781,-0.683321,0.050328,-0.031008,0.607989,-0.114721,-0.091266,-0.102382
38,0.898305,0.036899,0.913699,0.013922,0.003722,0.042947,0.998973,-0.14836,0.243294,0,0,0,-0.414481,0.102244,-0.26236,0.500587,0,0,0,-0.468592,-0.303663,0.068119,-0.294386,0.077228,-0.017662,-0.308275,0.040024,-0.160112,0.96971,0.266289,-0.005516,-0.745708,0.047472,-0.021497,0.640989,-0.121193,-0.092635,-0.102056
39,0.921902,0.034472,0.910026,0.020641,0.007491,0.048455,0.998584,-0.153396,0.261681,0,0,0,-0.38563,0.120371,-0.253189,0.514196,0,0,0,-0.554162,-0.313676,0.076378,-0.293155,0.072602,-0.022771,-0.333753,0.044375,-0.131096,0.936754,0.295083,-0.010681,-0.806992,0.044711,-0.007874,0.665531,-0.129481,-0.104663,-0.097991
40,0.94643,0.03218,0.904862,0.024873,0.0111,0.053494,0.998197,-0.157098,0.276526,0,0,0,-0.346444,0.13442,-0.245826,0.522279,0,0,0,-0.63865,-0.322444,0.082152,-0.292259,0.067537,-0.025415,-0.356221,0.046301,-0.12838,0.925311,0.315548,-0.011632,-0.858174,0.041957,-0.000749,0.697373,-0.139156,-0.11183,-0.09548
41,0.97122,0.029917,0.898565,0.028457,0.015006,0.05763,0.99782,-0.159504,0.287916,0,0,0,-0.297581,0.145167,-0.239516,0.52534,0,0,0,-0.718596,-0.327982,0.08528,-0.291974,0.060433,-0.028208,-0.374378,0.04389,-0.132521,0.922869,0.333639,-0.006118,-0.907133,0.039195,0.003917,0.730325,-0.147542,-0.117413,-0.093217
42,0.995839,0.02768,0.89169,0.030742,0.019301,0.060354,0.997517,-0.161858,0.295669,0,0,0,-0.232381,0.153949,-0.233109,0.519954,0,0,0,-0.788236,-0.332108,0.086944,-0.293364,0.052917,-0.029682,-0.386906,0.035116,-0.160142,0.959923,0.349888,0.01036,-0.967575,0.036042,0.007605,0.762011,-0.152561,-0.119389,-0.090986
43,1.020603,0.025208,0.884806,0.032269,0.023311,0.062234,0.997267,-0.165284,0.300425,0,0,0,-0.134384,0.16387,-0.224228,0.498468,0,0,0,-0.843754,-0.33653,0.089875,-0.296416,0.047259,-0.030835,-0.395158,0.026118,-0.203008,0.984878,0.354312,0.021885,-0.993235,0.032543,0.0129,0.787675,-0.155054,-0.118527,-0.085015
44,1.046064,0.022315,0.878083,0.032393,0.025351,0.062875,0.997173,-0.169389,0.302876,0,0,0,-0.004082,0.177462,-0.212644,0.459931,0,0,0,-0.883804,-0.342134,0.095508,-0.300669,0.046981,-0.030916,-0.398833,0.018047,-0.240086,0.981929,0.34592,0.025556,-0.987143,0.028278,0.019457,0.806143,-0.151901,-0.112288,-0.070692
